usr_id,first_name,last_name,gender,email,phone,date_of_birth,job,experience,salary
45,Haley,Pugh,Female,molly03@example.org,(746)182-6137x2453,1980-09-16,Consultant,Senior,62500.0
46,Danielle,Estrada,Female,jvang@example.org,(890)374-9518x772,1930-07-09,Engineer,Senior,93800.0
47,Becky,Brady,Male,erikmueller@example.org,(390)002-0863,1957-06-27,Engineer,Senior,94600.0
48,Caitlyn,Frey,Male,rivasdominique@example.org,805-021-3965x46344,1968-01-26,Consultant,Senior,65000.0
49,Joshua,Sweeney,Male,daisymcgee@example.net,875.994.2100x535,1954-07-28,Consultant,Junior,11800.0
50,Heidi,Escobar,Female,staffordtravis@example.net,601-155-3065x1131,1931-09-25,Analyst,Senior,67900.0
51,Brian,Oconnell,Female,saralong@example.net,952-283-1423x733,1911-10-23,Analyst,Semi-senior,40200.0
52,Beverly,Esparza,Female,iphelps@example.net,+1-327-578-8754x6771,1930-12-09,Consultant,Semi-senior,35300.0
53,Nathaniel,Rivas,Female,roberto29@example.com,(655)887-2040x37888,1908-11-17,Engineer,Semi-senior,60700.0
54,Debra,Payne,Female,yolanda07@example.org,001-731-525-8400x52593,1927-08-20,Consultant,Senior,57400.0
55,Mackenzie,Rocha,Female,abbottyvette@example.net,4225525458,1980-10-21,Consultant,Senior,58000.0
56,Courtney,Watkins,Female,ochang@example.org,210.683.2761x5883,2003-12-07,Engineer,Semi-senior,65800.0
57,Fred,Olsen,Female,amyanderson@example.com,497-774-3053,1910-04-10,Consultant,Semi-senior,33400.0
58,Ryan,Nelson,Female,qnorman@example.org,956.330.2951,1924-05-02,Engineer,Semi-senior,61400.0
59,Grace,Phelps,Male,clarkeangela@example.net,(034)867-8827x6777,1909-10-15,Analyst,Junior,17600.0
60,Shari,Daugherty,Male,kalvarado@example.org,001-951-655-4798x6124,1944-11-24,Analyst,Semi-senior,48200.0
61,Kelli,Garner,Male,jodyvincent@example.org,995.000.4213x0982,2010-01-17,Analyst,Senior,69500.0
62,Jackie,Bennett,Male,hutchinsonkirk@example.com,001-740-937-0846x0087,1915-11-11,Analyst,Junior,21600.0
63,Leslie,Conway,Female,floreschristina@example.org,795.782.4384x555,1983-11-06,Engineer,Senior,91200.0
64,Harold,Barnett,Female,nathan65@example.org,+1-026-265-6392,1943-03-15,Consultant,Junior,12700.0
65,Larry,Harper,Male,maria32@example.org,+1-244-630-3792x4121,2021-05-05,Engineer,Senior,87200.0
66,Mike,Ward,Female,imccullough@example.com,116-729-5046,1967-11-09,Consultant,Semi-senior,40900.0
67,Brittney,Rubio,Female,corey92@example.com,593.976.2528,1959-12-24,Engineer,Senior,91500.0
68,Frank,Pineda,Male,daltoncalvin@example.net,(035)961-5060x9182,1926-03-10,Consultant,Junior,7100.0
69,Sandra,Wu,Male,ubanks@example.com,+1-096-606-6454x067,1925-04-28,Engineer,Semi-senior,69600.0
70,Ryan,Benton,Male,lopezdebbie@example.org,+1-695-557-9948x485,2020-10-06,Engineer,Junior,41100.0
71,Tamara,Hull,Male,meagan39@example.net,017.665.3744x7944,1933-01-31,Analyst,Junior,20000.0
72,Jean,Ritter,Female,kristina76@example.com,(954)060-1066,1985-08-06,Consultant,Semi-senior,37600.0
73,Veronica,Briggs,Female,weissbridget@example.com,+1-521-589-2387x48490,1974-06-08,Consultant,Senior,70000.0
74,Kim,Andrews,Female,wpetersen@example.org,7677125383,1990-11-15,Consultant,Junior,12300.0
75,Tina,Cunningham,Male,wongmary@example.org,079-907-5051,1956-11-29,Engineer,Junior,45500.0
76,Jonathon,Atkinson,Male,gailfrench@example.net,874-037-2032x932,2011-07-19,Consultant,Semi-senior,37100.0
77,Jermaine,Reid,Female,vpaul@example.com,(742)214-8691,1974-08-18,Consultant,Junior,14300.0
78,Regina,Stevens,Male,xpoole@example.net,891-359-2684,2011-11-28,Engineer,Junior,41800.0
79,Terrence,Huff,Male,cassandra80@example.org,221.800.6408x5416,1944-02-27,Consultant,Semi-senior,38200.0
80,Tyler,Foley,Female,johnathan72@example.org,001-386-469-3075x8030,1908-09-19,Consultant,Senior,55500.0
81,Andrew,Waters,Male,nhall@example.net,+1-376-865-2765x3351,1948-05-14,Consultant,Junior,8400.0
82,Reginald,Stephenson,Male,erikaball@example.net,+1-832-500-6044x475,2010-02-08,Analyst,Junior,21600.0
83,Douglas,Reese,Female,nixonvanessa@example.net,001-834-660-8312x9864,1961-11-11,Engineer,Semi-senior,62000.0
84,Helen,Williamson,Female,melvin08@example.net,001-377-726-4229,1911-08-11,Engineer,Junior,44300.0
85,Mario,Vaughn,Male,oblake@example.com,160-144-5039x12276,1990-07-08,Engineer,Semi-senior,56400.0
86,Chelsea,Dickson,Male,johnnyhendricks@example.net,001-698-651-0138x18588,1958-05-13,Consultant,Senior,55100.0
87,Dustin,Bailey,Male,pbarron@example.net,+1-965-621-1157x345,1908-08-22,Consultant,Semi-senior,35900.0
88,Harry,Medina,Female,olsenmalik@example.net,+1-451-099-5805,1947-08-24,Consultant,Senior,54600.0
89,Kathy,Haney,Female,teresa37@example.com,(164)105-8456,1955-09-02,Consultant,Senior,63400.0
90,Alison,Nixon,Female,zmiles@example.net,3506680871,1941-07-10,Analyst,Senior,66100.0
91,Jamie,Hardy,Female,sheenadouglas@example.com,(900)803-9295x11533,1994-07-17,Engineer,Semi-senior,64200.0
92,Melody,Cox,Female,evan90@example.org,(626)520-5080x3511,1974-07-30,Engineer,Junior,41800.0
93,Xavier,Cole,Male,nicolas90@example.org,8164259975,1938-11-29,Analyst,Senior,68000.0
94,Dillon,Guzman,Female,angelanavarro@example.net,971-992-4521,1942-04-01,Analyst,Junior,20700.0
95,Dennis,Barnes,Female,bmartin@example.org,001-095-524-2112x257,1954-07-30,Analyst,Junior,22200.0
96,Steve,Patterson,Female,latasha46@example.net,001-865-478-5157,1932-04-29,Engineer,Junior,44100.0
97,Wesley,Bray,Male,regina11@example.org,995-542-3004x76800,1994-12-28,Analyst,Junior,23600.0
98,Summer,Oconnell,Female,alexiscantrell@example.org,001-273-685-6932x092,2012-04-12,Consultant,Junior,8800.0
99,Mariah,Bernard,Male,pcopeland@example.org,(341)594-6554x44657,2016-11-15,Consultant,Junior,11800.0
